#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\platform\manage-access.md","177","log analytics","To use the entitlements that come from purchasing OMS E1, OMS E2 OMS or OMS Add-On for System Center, choose the *OMS* plan of OMS Log Analytics."
"\platform\manage-access.md","188","log analytics","> If your workspace was created before September 26, 2016 and your Log Analytics pricing plan is *Premium*, then this workspace uses entitlements from the OMS Add-On for System Center. You can also use your entitlements by changing to the *OMS* pricing tier."
"\platform\manage-access.md","199","log analytics","If you have Azure monetary commitment on the enterprise enrollment to which your Azure subscriptions are linked, usage of Log Analytics will automatically debit against the remaining monetary commit."
"\platform\manage-access.md","204","log analytics","1. In the Azure portal, from the Log Analytics subscriptions pane, select a workspace."
"\platform\manage-access.md","235","log analytics","* See [Log Analytics agent overview](../../azure-monitor/platform/log-analytics-agent.md) to gather data from computers in your datacenter or other cloud environment."
"\platform\manage-access.md","237","log analytics","* [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md) to add functionality and gather data."
"\platform\manage-cost-storage.md","2","log analytics","title: Manage cost of data in Azure Log Analytics | Microsoft Docs"
"\platform\manage-cost-storage.md","3","log analytics","description: Learn how to change the pricing plan and manage data volume and retention policy for your Log Analytics workspace in Azure."
"\platform\manage-cost-storage.md","18","log analytics","# Manage cost by controlling data volume and retention in Log Analytics"
"\platform\manage-cost-storage.md","21","log analytics","> This article describes how to control your costs in Log Analytics by setting the data retention period.  Refer to the following articles for related information."
"\platform\manage-cost-storage.md","22","log analytics","> - [Analyze data usage in Log Analytics](manage-cost-storage.md) describes how to analyze and alert on your data usage."
"\platform\manage-cost-storage.md","35","management solution","- Number of Management solutions enabled, data source, and collection frequency "
"\platform\manage-cost-storage.md","40","log analytics","Customers with an Enterprise Agreement signed prior to July 1, 2018 or who already created a Log Analytics workspace in a subscription, you still have access to the *Free* plan. If your subscription is not tied to an existing EA enrollment, the *Free* tier is not available when you create a workspace in a new subscription after April 2, 2018.  Data is limited to 7 days retention for the *Free* tier.  For the *Standalone* or *Paid* tier, data collected is available for the last 31 days. The *Free* tier has 500 MB daily ingestion limit, and if you find that you consistently exceed the amounts allowed volume, you can change your workspace to a paid plan to collect data beyond this limit. "
"\platform\manage-cost-storage.md","51","log analytics","2. In the Azure portal, click **All services**. In the list of resources, type **Log Analytics**. As you begin typing, the list filters based on your input. Select **Log Analytics**.<br><br> ![Azure portal](media/manage-cost-storage/azure-portal-01.png)<br><br>  "
"\platform\manage-cost-storage.md","52","log analytics","3. In the Log Analytics subscriptions pane, select your workspace and then click **Usage and estimated costs**  from the left-hand pane.<br><br> ![Usage and estimated costs page](media/manage-cost-storage/usage-estimated-cost-dashboard-01.png)<br>"
"\platform\manage-cost-storage.md","54","log analytics","From here you can review your data volume for the month. This includes all the data received and retained in your Log Analytics workspace.  Click **Usage details** from the top of the page to view the usage dashboard with information on data volume trends by source, computers and offering. To view and set a daily cap or to modify the retention period, click **Data volume management**."
"\platform\manage-cost-storage.md","59","log analytics","When creating a Log Analytics workspace from the Azure portal and you choose the *Free* plan, it is set to a 500 MB per day limit. There is no limit for the other pricing plans. You can configure a daily cap and limit the daily ingestion for your workspace, but use care as your goal should not be to hit the daily limit.  Otherwise, you lose data for the remainder of the day, which can impact other Azure services and solutions whose functionality may depend on up-to-date data being available in the workspace.  As a result, your ability to observe and receive alerts when the health conditions of resources supporting IT services are impacted.  The daily cap is intended to be used as a way to manage the unexpected increase in data volume from your managed resources and stay within your limit, or when you want to simply limit unplanned charges for your workspace.  "
"\platform\manage-cost-storage.md","61","log analytics","When the daily limit is reached, the collection of billable data types stops for the rest of the day. A warning banner appears across the top of the page for the selected Log Analytics workspace and an operation event is sent to the *Operation* table under **LogManagement** category. Data collection resumes after the reset time defined under *Daily limit will be set at*. We recommend defining an alert rule based on this operation event, configured to notify when the daily data limit has been reached. "
"\platform\manage-cost-storage.md","64","log analytics","Review [Log Analytics Usage and estimated costs](../../azure-monitor/platform/data-usage.md) to understand the data ingestion trend and what is the daily volume cap to define. It should be considered with care, since you won???t be able to monitor your resources after the limit is reached. "
"\platform\manage-cost-storage.md","67","log analytics","The following steps describe how to configure a limit to manage the volume of data that Log Analytics will ingest per day.  "
"\platform\manage-cost-storage.md","71","log analytics","5. Daily cap is **OFF** by default ??? click **ON** to enable it, and then set the data volume limit in GB/day.<br><br> ![Log Analytics configure data limit](media/manage-cost-storage/set-daily-volume-cap-01.png)"
"\platform\manage-cost-storage.md","78","log analytics","* Target: Select your Log Analytics resource"
"\platform\manage-cost-storage.md","100","log analytics","**Question**: How do I troubleshoot if Log Analytics is no longer collecting data? "
"\platform\manage-cost-storage.md","101","log analytics","**Answer**:  If you are on the free pricing tier and have sent more than 500 MB of data in a day, data collection stops for the rest of the day. Reaching the daily limit is a common reason that Log Analytics stops collecting data, or data appears to be missing.  "
"\platform\manage-cost-storage.md","122","log analytics","To determine how much data is collected, which sources are sending it, and the different types of data sent to help manage consumption and cost, see [Analyze data usage in Log Analytics](../../azure-monitor/platform/data-usage.md)."
"\platform\om-agents.md","2","log analytics","title: Connect Operations Manager to Log Analytics | Microsoft Docs"
"\platform\om-agents.md","3","log analytics","description: To maintain your existing investment in System Center Operations Manager and use extended capabilities with Log Analytics, you can integrate Operations Manager with your workspace."
"\platform\om-agents.md","18","log analytics","# Connect Operations Manager to Log Analytics"
"\platform\om-agents.md","19","log analytics","To maintain your existing investment in [System Center Operations Manager](https://docs.microsoft.com/system-center/scom/key-concepts?view=sc-om-1807) and use extended capabilities with Log Analytics, you can integrate Operations Manager with your Log Analytics workspace. This allows you leverage the opportunities of Log Analytics while continuing to use Operations Manager to:"
"\platform\om-agents.md","25","log analytics","Integrating with System Center Operations Manager adds value to your service operations strategy by using the speed and efficiency of Log Analytics in collecting, storing, and analyzing data from Operations Manager. Log Analytics helps correlate and work towards identifying the faults of problems and surfacing recurrences in support of your existing problem management process. The flexibility of the search engine to examine performance, event and alert data, with rich dashboards and reporting capabilities to expose this data in meaningful ways, demonstrates the strength Log Analytics brings in complimenting Operations Manager."
"\platform\om-agents.md","27","log analytics","The agents reporting to the Operations Manager management group collect data from your servers based on the Log Analytics data sources and solutions you have enabled in your workspace. Depending on the solutions enabled, their data are either sent directly from an Operations Manager management server to the service, or because of the volume of data collected on the agent-managed system, are sent directly from the agent to Log Analytics. The management server forwards the data directly to the service; it is never written to the operational or data warehouse database. When a management server loses connectivity with Log Analytics, it caches the data locally until communication is re-established with Log Analytics. If the management server is offline due to planned maintenance or unplanned outage, another management server in the management group resumes connectivity with Log Analytics.  "
"\platform\om-agents.md","29","log analytics","The following diagram shows the connection between the management servers and agents in a System Center Operations Manager management group and Log Analytics, including the direction and ports.   "
"\platform\om-agents.md","33","log analytics","If your IT security policies do not allow computers on your network to connect to the Internet, management servers can be configured to connect to the Log Analytics gateway to receive configuration information and send collected data depending on the solutions enabled. For more information and steps on how to configure your Operations Manager management group to communicate through a Log Analytics gateway to the Log Analytics service, see [Connect computers to Log Analytics using the Log Analytics gateway](../../azure-monitor/platform/gateway.md).  "
"\platform\om-agents.md","38","log analytics","* Log Analytics only supports System Center Operations Manager 1807, Operations Manager 1801, Operations Manager 2016, Operations Manager 2012 SP1 UR6 or later, and Operations Manager 2012 R2 UR2 or later. Proxy support was added in Operations Manager 2012 SP1 UR7 and Operations Manager 2012 R2 UR3."
"\platform\om-agents.md","40","log analytics","* A Log Analytics workspace. For further information, review [Log Analytics workspace overview](../../azure-monitor/platform/manage-access.md?toc=/azure/azure-monitor/toc.json)."
"\platform\om-agents.md","41","log analytics","* You authenticate to Azure with an account that is a member of the [Log Analytics Contributor role](../../azure-monitor/platform/manage-access.md#manage-accounts-and-users).  "
"\platform\om-agents.md","44","log analytics",">Recent changes to Azure APIs will prevent customers from being able to successfully configure integration between their management group and Log Analytics for the first time. For customers who have already integrated their management group with the service, you are not impacted unless you need to reconfigure your existing connection.  "
"\platform\om-agents.md","54","log analytics","The information below list the proxy and firewall configuration information required for the Operations Manager agent, management servers, and Operations console to communicate with Log Analytics. Traffic from each component is outbound from your network to the Log Analytics service.   "
"\platform\om-agents.md","68","log analytics","|**Operations Manager console to Log Analytics**|||  "
"\platform\om-agents.md","81","log analytics","To insure the security of data in transit to Log Analytics, we strongly encourage you to configure the agent and management group to use at least Transport Layer Security (TLS) 1.2. Older versions of TLS/Secure Sockets Layer (SSL) have been found to be vulnerable and while they still currently work to allow backwards compatibility, they are **not recommended**. For additional information, review [Sending data securely using TLS 1.2](../../azure-monitor/platform/data-security.md#sending-data-securely-using-tls-12). "
"\platform\om-agents.md","83","log analytics","## Connecting Operations Manager to Log Analytics"
"\platform\om-agents.md","84","log analytics","Perform the following series of steps to configure your Operations Manager management group to connect to one of your Log Analytics workspaces."
"\platform\om-agents.md","86","log analytics","During initial registration of your Operations Manager management group with a Log Analytics workspace, the option to specify the proxy configuration for the management group is not available in the Operations console.  The management group has to be successfully registered with the service before this option is available.  To work around this, you need to update the system proxy configuration using Netsh on the system your running the Operations console from to configure integration, and all management servers in the management group.  "
"\platform\om-agents.md","95","log analytics","After completing the following steps to integrate with Log Analytics, you can remove the configuration by running `netsh winhttp reset proxy` and then use the **Configure proxy server** option in the Operations console to specify the proxy or Log Analytics gateway server. "
"\platform\om-agents.md","103","log analytics","   >OMS is now referred to as Log Analytics."
"\platform\om-agents.md","105","log analytics","1. After you are successfully authenticated, on the **Operations Management Suite Onboarding Wizard: Select Workspace** page, you are prompted to select your Azure tenant, subscription, and Log Analytics workspace. If you have more than one workspace, select the workspace you want to register with the Operations Manager management group from the drop-down list, and then click **Next**."
"\platform\om-agents.md","108","log analytics","   > Operations Manager only supports one Log Analytics workspace at a time. The connection and the computers that were registered to Log Analytics with the previous workspace are removed from Log Analytics."
"\platform\om-agents.md","115","log analytics","After configuring integration with your Log Analytics workspace, it only establishes a connection with the service, no data is collected from the agents reporting to your management group. This won???t happen until after you configure which specific agent-managed computers collect data for Log Analytics. You can either select the computer objects individually or you can select a group that contains Windows computer objects. You cannot select a group that  contains instances of another class, such as logical disks or SQL databases."
"\platform\om-agents.md","120","log analytics","1. In the **Computer Search** dialog box, you can search for computers or groups monitored by Operations Manager. Select computers or groups to onboard to Log Analytics, click **Add**, and then click **OK**."
"\platform\om-agents.md","125","log analytics","Perform the following steps if an internal proxy server is between the management group and Log Analytics service. These settings are centrally managed from the management group and distributed to agent-managed systems that are included in the scope to collect data for Log Analytics.  This is beneficial for when certain solutions bypass the management server and send data directly to the service."
"\platform\om-agents.md","132","log analytics","If your proxy server requires authentication, perform the following steps to configure credentials and settings that need to propagate to managed computers that reports to Log Analytics in the management group."
"\platform\om-agents.md","143","log analytics","After the connection is created and you configure which agents will collect and report data to Log Analytics, the following configuration is applied in the management group, not necessarily in order:"
"\platform\om-agents.md","146","log analytics","* Two connectors are created.  The first is named **Microsoft.SystemCenter.Advisor.DataConnector** and is automatically configured with a subscription that forwards all alerts generated from instances of all classes in the management group to Log Analytics. The second connector is **Advisor Connector**, which is responsible for communicating with Log Analytics and sharing data."
"\platform\om-agents.md","150","log analytics","After configuration is completed, the Operations Manager management group establishes a connection with the Log Analytics service. The management server synchronizes with the web service and receive updated configuration information in the form of management packs for the solutions you have enabled that integrate with Operations Manager. Operations Manager checks for updates of these management packs and automatically download and imports them when they???re available. There are two rules in particular which control this behavior:"
"\platform\om-agents.md","152","log analytics","* **Microsoft.SystemCenter.Advisor.MPUpdate** - Updates the base Log Analytics management packs. Runs every 12 hours by default."
"\platform\om-agents.md","155","log analytics","You can override these two rules to either prevent automatic download by disabling them, or modify the frequency for how often the management server synchronizes with Log Analytics to determine if a new management pack is available and should be downloaded. Follow the steps [How to Override a Rule or Monitor](https://technet.microsoft.com/library/hh212869.aspx) to modify the **Frequency** parameter with a value in seconds to change the synchronization schedule, or modify the **Enabled** parameter to disable the rules. Target the overrides to all objects of class Operations Manager Management Group."
"\platform\om-agents.md","157","log analytics","To continue following your existing change control process for controlling management pack releases in your production management group, you can disable the rules and enable them during specific times when updates are allowed. If you have a development or QA management group in your environment and it has connectivity to the Internet, you can configure that management group with a Log Analytics workspace to support this scenario. This allows you to review and evaluate the iterative releases of the Log Analytics management packs before releasing them into your production management group."
"\platform\om-agents.md","159","log analytics","## Switch an Operations Manager group to a new Log Analytics Workspace"
"\platform\om-agents.md","161","log analytics","1. In the Azure portal, click **More services** found on the lower left-hand corner. In the list of resources, type **Log Analytics**. As you begin typing, the list filters based on your input. Select **Log Analytics** and then create a workspace.  "
"\platform\om-agents.md","163","log analytics","1. Expand Log Analytics, and select **Connections**."
"\platform\om-agents.md","165","log analytics","1. Follow the **Log Analytics Onboarding Wizard** and enter the email address or phone number and password of the administrator account that is associated with your new Log Analytics workspace."
"\platform\om-agents.md","172","log analytics","## Validate Operations Manager Integration with Log Analytics"
"\platform\om-agents.md","173","log analytics","There are a few different ways you can verify that Log Analytics to Operations Manager integration is successful."
"\platform\om-agents.md","176","log analytics","1. In the Azure portal, click **More services** found on the lower left-hand corner. In the list of resources, type **Log Analytics**. As you begin typing, the list filters based on your input."
"\platform\om-agents.md","177","log analytics","1. In your list of Log Analytics workspaces, select the applicable workspace.  "
"\platform\om-agents.md","186","management solution","1. Depending on the solutions you have enabled, you see a corresponding management pack listed in the search results.  For example, if you have enabled the Alert Management solution, the management pack Microsoft System Center Advisor Alert Management is in the list."
"\platform\om-agents.md","187","log analytics","1. From the **Monitoring** view, navigate to the **Operations Management Suite\Health State** view.  Select a Management server under the **Management Server State** pane, and in the **Detail View** pane confirm the value for property **Authentication service URI** matches the Log Analytics Workspace ID."
"\platform\om-agents.md","191","log analytics","## Remove Integration with Log Analytics"
"\platform\om-agents.md","192","log analytics","When you no longer require integration between your Operations Manager management group and the Log Analytics workspace, there are several steps required to properly remove the connection and configuration in the management group. The following procedure has you update your Log Analytics workspace by deleting the reference of your management group, delete the Log Analytics connectors, and then delete management packs supporting integration with the service.  "
"\platform\om-agents.md","194","log analytics","Management packs for the solutions you have enabled that integrate with Operations Manager and the management packs required to support integration with the Log Analytics service cannot be easily deleted from the management group. This is because some of the Log Analytics management packs have dependencies on other related management packs. To delete management packs having a dependency on other management packs, download the script [remove a management pack with dependencies](https://gallery.technet.microsoft.com/scriptcenter/Script-to-remove-a-84f6873e) from TechNet Script Center.  "
"\platform\om-agents.md","324","log analytics","In the future if you plan on reconnecting your management group to a Log Analytics workspace, you need to re-import the `Microsoft.SystemCenter.Advisor.Resources.\<Language>\.mpb` management pack file. Depending on the version of System Center Operations Manager deployed in your environment, you can find this file in the following location:"
"\platform\om-agents.md","330","log analytics","To add functionality and gather data, see [Add Log Analytics solutions from the Solutions Gallery](../../azure-monitor/insights/solutions.md)."
"\platform\oms-portal-faq.md","2","log analytics","title: Common questions for transition from OMS portal to Azure portal for Log Analytics users | Microsoft Docs"
"\platform\oms-portal-faq.md","3","log analytics","description: Answers to common questions for Log Analytics users transitioning from the OMS portal to the Azure portal."
"\platform\oms-portal-faq.md","17","log analytics","# Common questions for transition from OMS portal to Azure portal for Log Analytics users"
"\platform\oms-portal-faq.md","20","log analytics","This article answers common questions for users making this transition.  If you used Log Analytics in the OMS portal, then you can find answers here for how you can perform the same tasks in the Azure portal."
"\platform\oms-portal-faq.md","23","log analytics","No. There are no changes being made to Log Analytics itself, so there is nothing that needs to be migrated. The only thing that's changing is the interface that you use to access it. In fact, you can use the Azure portal now to access the same workspaces, solutions, views, and log searches that you use in the OMS portal today."
"\platform\oms-portal-faq.md","25","log analytics","## Where do I find Log Analytics in Azure?"
"\platform\oms-portal-faq.md","26","log analytics","Log in to the Azure portal at [https://portal.azure.com](https://portal.azure.com).  Click **All services**, and in the list of resources, type **Log Analytics**. Select **Log Analytics** and then select your workspace. The summary page for the workspace is displayed."
"\platform\oms-portal-faq.md","28","log analytics","![Log Analytics workspace](media/oms-portal-faq/log-analytics.png)"
"\platform\oms-portal-faq.md","31","log analytics","If you don't have access to your Log Analytics workspace in the Azure portal, you need to configure your permissions using [Azure role-based access](../../role-based-access-control/role-assignments-portal.md). For details on managing workspace permissions, see [Manage workspaces](manage-access.md#manage-accounts-and-users). For information on managing permissions for alerts, see [Get started with roles, permissions, and security with Azure Monitor](../../monitoring-and-diagnostics/monitoring-roles-permissions-security.md)."
"\platform\oms-portal-faq.md","34","log analytics","From the list of workspaces in the Azure portal, click **Add** in the list of workspaces.  For complete details, see [Create a Log Analytics workspace in the Azure portal](../learn/quick-create-workspace.md)."
"\platform\oms-portal-faq.md","39","management solution","The main screen in the OMS portal displays the tiles for all the management solutions installed in your workspace and any custom views that you've created. This same view is available in the Azure portal. From your workspace, select **Workspace Summary**."
"\platform\oms-portal-faq.md","64","log analytics","Alert rules based on Log Analytics queries are now managed in the [unified alerting experience](#how-do-i-create-and-manage-alerts). "
"\platform\oms-portal-faq.md","78","management solution","| Office 365        | See the [documentation for Office 365 management solution](../insights/solution-office-365.md) for configuration details. |"
"\platform\oms-portal-faq.md","80","log analytics","| ITSM Connector    | See  [Connect ITSM products/services with IT Service Management Connector](itsmc-connections.md) for instructions on connecting your ITSM service with Log Analytics. |"
"\platform\oms-portal-faq.md","94","log analytics","| Application Insights         | This solution has been deprecated now that Log Analytics and Application Insights share the same data engine.  |"
"\platform\oms-portal-faq.md","102","management solution","## How do I install and remove management solutions?"
"\platform\oms-portal-faq.md","103","management solution","In the OMS portal, you install management solutions from the Solutions Gallery and removed them from **Settings**. In the Azure portal, [install management solutions](../insights/solutions.md#install-a-management-solution) from the Azure Marketplace. [Remove solutions](../insights/solutions.md#remove-a-management-solution) from the list of installed solutions."
"\platform\oms-portal-faq.md","106","log analytics","Alert rules based on Log Analytics queries are now managed in the [unified alerting experience](../../azure-monitor/platform/alerts-metric.md). See [How to extend alerts from Log Analytics into Azure Alerts](../../monitoring-and-diagnostics/monitoring-alerts-extend-tool.md) for details on configuring and using alerts in the Azure portal."
"\platform\oms-portal-faq.md","109","log analytics","The [My Dashboard](dashboards.md) feature in Log Analytics has been deprecated. This feature allowed you to have a private collection of View Designer parts, and is superseded by the built-in Azure Dashboard functionality. You can continue to visualize data in Log Analytics using [View Designer](view-designer.md) for shared views. You can also pin visualizations from these views or for [individual queries](../learn/tutorial-logs-dashboards.md) to Azure Dashboards."
"\platform\oms-portal-faq.md","112","log analytics","You can now easily view and manage your usage and cost of Log Analytics by selecting **Usage and estimated costs** in your workspace."
"\platform\oms-portal-faq.md","123","management solution","- [Find and install management solutions](../insights/solutions.md) using the Azure portal."
"\platform\oms-portal-transition.md","30","management solution","- The new alert management experience [replaces the Alert Management solution](#changes-to-alerts)."
"\platform\oms-portal-transition.md","35","log analytics","- New connections from System Center Operations Manager to Log Analytics require [updated management packs](#system-center-operations-manager)."
"\platform\oms-portal-transition.md","43","management solution","- See [Migrate your OMS Update Deployments to Azure](../../automation/migrate-oms-update-deployments.md) for details on transitioning the Update Management solution."
"\platform\oms-portal-transition.md","45","log analytics","Refer to [Common questions for transition from OMS portal to Azure portal for Log Analytics users](oms-portal-faq.md) for information about how to transition to the Azure portal. Send any feedback, questions, or concerns to **LAUpgradeFeedback@microsoft.com**."
"\platform\oms-portal-transition.md","48","log analytics","Azure portal access management is richer and more powerful than the access management in the OMS Portal. See [Manage workspaces](manage-access.md#manage-accounts-and-users) for details of access management in Log Analytics."
"\platform\oms-portal-transition.md","62","log analytics","| ReadOnly | Log Analytics Reader |"
"\platform\oms-portal-transition.md","63","log analytics","| Contributor | Log Analytics Contributor |"
"\platform\oms-portal-transition.md","68","log analytics","You are no longer be able to create new workspaces using the OMS portal. Follow the guidance in [Create a Log Analytics workspace in the Azure portal](../../azure-monitor/learn/quick-create-workspace.md) to create a new workspace in the Azure portal."
"\platform\oms-portal-transition.md","77","log analytics","Alerts have been [extended into the Azure portal](../../monitoring-and-diagnostics/monitoring-alerts-extend.md). Once this is complete, management actions on alerts will only be available in Azure portal. Existing alerts will continue to be listed in the OMS portal. If you access alerts programmatically by using the Log Analytics Alert REST API or Log Analytics Alert Resource Template, you'll need to use action groups instead of actions in your API calls, Azure Resource Manager templates, and PowerShell commands."
"\platform\oms-portal-transition.md","79","management solution","### Alert management solution"
"\platform\oms-portal-transition.md","80","log analytics","Instead of the [alert management solution](../../azure-monitor/platform/alert-management-solution.md), you can use [Azure Monitor's unified alerting interface](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) to visualize and manage your alerts. This new experience aggregates alerts from multiple sources within Azure including log alerts from Log Analytics. You can see distributions of your alerts, take advantage of automated grouping of related alerts via smart groups, and view alerts across multiple subscriptions while applying rich filters. All these features are available in preview starting June 4, 2018. The alert management solution will not be available in the Azure portal. "
"\platform\oms-portal-transition.md","80","management solution","Instead of the [alert management solution](../../azure-monitor/platform/alert-management-solution.md), you can use [Azure Monitor's unified alerting interface](../../monitoring-and-diagnostics/monitoring-overview-alerts.md) to visualize and manage your alerts. This new experience aggregates alerts from multiple sources within Azure including log alerts from Log Analytics. You can see distributions of your alerts, take advantage of automated grouping of related alerts via smart groups, and view alerts across multiple subscriptions while applying rich filters. All these features are available in preview starting June 4, 2018. The alert management solution will not be available in the Azure portal. "
"\platform\oms-portal-transition.md","82","log analytics","The data collected by the Alert Management solution (records with a type of Alert) continues to be in Log Analytics as long as the solution is installed for the workspace. Starting August 2018, streaming of alerts from unified alerting into workspaces will be enabled, replacing this capability. Some schema changes are expected and will be announced at a later date."
"\platform\oms-portal-transition.md","82","management solution","The data collected by the Alert Management solution (records with a type of Alert) continues to be in Log Analytics as long as the solution is installed for the workspace. Starting August 2018, streaming of alerts from unified alerting into workspaces will be enabled, replacing this capability. Some schema changes are expected and will be announced at a later date."
"\platform\oms-portal-transition.md","88","log analytics","[Application Insights Connector](../../azure-monitor/platform/app-insights-connector.md) provides a way to bring Application Insights data into a Log Analytics workspace. This data duplication was required to enable visibility across infrastructure and application data."
"\platform\oms-portal-transition.md","90","log analytics","With the support of [cross-resource queries](../../azure-monitor/log-query/cross-workspace-query.md), there is no longer this need to duplicate data. As such, the existing Application Insights solution will be deprecated. Starting October, you will not be able to link new Application Insights resources to Log Analytics workspaces. Existing links and dashboards will continue to function until January 15, 2019."
"\platform\oms-portal-transition.md","105","log analytics","You can continue to rely on Diagnostics Settings to send NSG logs to Log Analytics so your existing saved searches, alerts, dashboards will continue to work. Customers who have already installed the solution can continue to use it until further notice. Starting September 5, the Network Security Group Analytics solution will be removed from the marketplace and made available through the community as a [Azure QuickStart Template](https://azure.microsoft.com/resources/templates/?resourceType=Microsoft.Operationalinsights)."
"\platform\oms-portal-transition.md","108","log analytics","If you've [connected your Operations Manager management group to Log Analytics](../../azure-monitor/platform/om-agents.md), then it will continue to work with no changes. For new connections though, you must follow the guidance in [Microsoft System Center Operations Manager Management Pack to configure Operations Management Suite](https://blogs.technet.microsoft.com/momteam/2018/07/25/microsoft-system-center-operations-manager-management-pack-to-configure-operations-management-suite/)."
"\platform\oms-portal-transition.md","111","log analytics","- See [Common questions for transition from OMS portal to Azure portal for Log Analytics users](oms-portal-faq.md) for guidance on moving from the OMS portal to the Azure portal."
"\platform\personal-data-mgmt.md","2","log analytics","title: Guidance for personal data stored in Azure Log Analytics| Microsoft Docs"
"\platform\personal-data-mgmt.md","3","log analytics","description: This article describes how to manage personal data stored in Azure Log Analytics and the methods to identify and remove it."
"\platform\personal-data-mgmt.md","18","log analytics","# Guidance for personal data stored in Log Analytics and Application Insights"
"\platform\personal-data-mgmt.md","23","log analytics","> For the purposes of this article _log data_ refers to data sent to a Log Analytics workspace, while _application data_ refers to data collected by Application Insights."
"\platform\personal-data-mgmt.md","35","log analytics","## Where to look for private data in Log Analytics?"
"\platform\personal-data-mgmt.md","41","log analytics","* *IP addresses*: Log Analytics collects a variety of IP information across many different tables. For example, the following query shows all tables where IPv4 addresses have been collected over the last 24 hours:"
"\platform\personal-data-mgmt.md","53","log analytics","* *Custom data*: Log Analytics allows the collection in a variety of methods: custom logs and custom fields, the [HTTP Data Collector API](../../azure-monitor/platform/data-collector-api.md) , and custom data collected as part of system event logs. All of these are susceptible to containing private data, and should be examined to verify whether any such data exists."
"\platform\personal-data-mgmt.md","77","log analytics","As mentioned in the [strategy for personal data handling](#strategy-for-personal-data-handling) section earlier, it is __strongly__ recommended to if it all possible, to restructure your data collection policy to disable the collection of private data, obfuscating or anonymizing it, or otherwise modifying it to remove it from being considered ""private"". Handling the data will foremost result in costs to you and your team to define and automate a strategy, build an interface for your customers to interact with their data through, and ongoing maintenance costs. Further, it is computationally costly for Log Analytics and Application Insights, and a large volume of concurrent query or purge API calls have the potential to negatively impact all other interaction with Log Analytics functionality. That said, there are indeed some valid scenarios where private data must be collected. For these cases, data should be handled as described in this section."
"\platform\personal-data-mgmt.md","83","log analytics","For both view and export data requests, the [Log Analytics query API](https://dev.loganalytics.io/) or the  [Application Insights query API](https://dev.applicationinsights.io/quickstart) should be used. Logic to convert the shape of the data to an appropriate one to deliver to your users will be up to you to implement. [Azure Functions](https://azure.microsoft.com/services/functions/) makes a great place to host such logic."
"\platform\personal-data-mgmt.md","88","log analytics","> Deletes in Log Analytics are destructive and non-reversible! Please use extreme caution in their execution."
"\platform\personal-data-mgmt.md","90","log analytics","We have made available as part of a privacy handling a *purge* API path. This path should be used sparingly due to the risk associated with doing so, the potential performance impact, and the potential to skew all-up aggregations, measurements, and other aspects of your Log Analytics data. See the [Strategy for personal data handling](#strategy-for-personal-data-handling) section for alternative approaches to handle private data."
"\platform\personal-data-mgmt.md","106","log analytics",">  While we expect the vast majority of purge operations to complete much quicker than our SLA, due to their heavy impact on the data platform used by Log Analytics, **the formal SLA for the completion of purge operations is set at 30 days**. "
"\platform\personal-data-mgmt.md","121","log analytics","- To learn more about how Log Analytics data is collected, processed, and secured, see [Log Analytics data security](../../azure-monitor/platform/data-security.md)."
"\platform\powerbi.md","2","log analytics","title: Import Azure Log Analytics data into Power BI | Microsoft Docs"
"\platform\powerbi.md","3","log analytics","description: Power BI is a cloud based business analytics service from Microsoft that provides rich visualizations and reports for analysis of different sets of data.  This article describes how to configure and import Log Analytics data into Power BI and configure it to automatically refresh."
"\platform\powerbi.md","17","log analytics","# Import Azure Log Analytics data into Power BI"
"\platform\powerbi.md","20","log analytics","[Power BI](https://powerbi.microsoft.com/documentation/powerbi-service-get-started/) is a cloud based business analytics service from Microsoft that provides rich visualizations and reports for analysis of different sets of data.  You can import the results of a Log Analytics log search into a Power BI dataset so you can take advantage of its features  such as combining data from different sources and sharing reports on the web and mobile devices."
"\platform\powerbi.md","23","log analytics","To import data from a Log Analytics workspace into Power BI, you create a dataset in Power BI based on a log search query in Log Analytics.  The query is run each time the dataset is refreshed.  You can then build Power BI reports that use data from the dataset.  To create the dataset in Power BI, you export your query from Log Analytics to [Power Query (M) language](https://msdn.microsoft.com/library/mt807488.aspx).  You then use this to create a query in Power BI Desktop and then publish it to Power BI as a dataset.  The details for this process are described below."
"\platform\powerbi.md","25","log analytics","![Log Analytics to Power BI](media/powerbi/overview.png)"
"\platform\powerbi.md","28","log analytics","Start by creating a [log search](../../azure-monitor/log-query/log-query-overview.md) that returns the data from Log Analytics that you want to populate the Power BI dataset.  You then export that query to [Power Query (M) language](https://msdn.microsoft.com/library/mt807488.aspx) which can be used by Power BI Desktop."
"\platform\powerbi.md","30","log analytics","1. Create the log search in Log Analytics to extract the data for your dataset."
"\platform\powerbi.md","38","log analytics","Power BI Desktop is a desktop application that allows you to create datasets and reports that can be published to Power BI.  You can also use it to create a query using the Power Query language exported from Log Analytics. "
"\platform\powerbi.md","63","log analytics","The dataset created in Power BI will have the same data that you previously saw in Power BI Desktop.  You need to refresh the dataset periodically to run the query again and populate it with the latest data from Log Analytics.  "
